artist_name,track_name,track_id,popularity
Tyga,Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,77
Yung Gravy,Mr. Clean,5GxnROd93Y7NGt2ci0TwBw,73
Post Malone,Over Now,09IOPhEh1OMe0HD9b36FJk,76
Ski Mask The Slump God,Catch Me Outside,4rgwri7LajWVZvdj2N81SS,74
Bazzi,Myself,5YLHLxoZsodDWjqSgjhBf3,76
MadeinTYO,Ned Flanders (feat. A$AP Ferg),2EUNZfjPToKZIahK0WMLKd,73
Trippie Redd,Love Scars 3,0AcicReEGm1qcENjqzh1Tg,72
Childish Gambino,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,74
Kodak Black,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,72
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,84
YoungBoy Never Broke Again,Valuable Pain,61Oo3DUJubecZQosjho6Pp,70
BLACKPINK,DDU-DU DDU-DU,2aI2k39nfa3KFsa4JclQzw,78
Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE,76
Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,84
Lil Tjay,Goat,5HFCFmjuSubniEXnFOpiZG,72
Shoreline Mafia,Musty,2bkKnaLTMCghmjlcPBoYWd,71
"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,73
Luke Combs,"Houston, We Got a Problem",6guWjUuNYziyNXgjFo1IpF,71
Mac Miller,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,73
Bazzi,Honest,11Tfh16o0SW8KdiQdeESEX,73
Daniel Caesar,Who Hurt You?,23c9gmiiv7RCu7twft0Mym,73
J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,83
Ozuna,Solita,7rwX0O3RlxqqIjQM8evm5E,76
G-Eazy,1942,794QVQtFNy7hvtjQP1keQd,72
ScHoolboy Q,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,73
Why Don't We,8 Letters,4zRZAmBQP8vhNPf9i9opXt,75
Roddy Ricch,Every Season,1ttPzkTSpQUFcEGx8bjerL,72
Ski Mask The Slump God,BabyWipe,6eKWSrZfzd25TYYxkscWgg,72
Lil Mosey,Pull Up,6dww8y59MiIREzWonqzGOy,72
Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,70
Fuerza Regida,Sigo Chambeando,4PR0r2us3a64lTew6TVlF2,73
21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,73
YNW Melly,Mind On My Murder,2xBfOUdiRafSWGqTj4yToU,71
Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,77
Rich The Kid,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,72
Clean Bandit,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,79
21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,72
Juice WRLD,Scared Of Love,49QVOdWgGagzLrThkIqtK6,71
Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,79
Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,78
Becky G,Sin Pijama,2ijef6ni2amuunRoKTlgww,82
Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,72
Post Malone,Zack And Codeine,5lZZmityu9TAjNvSY6GLhR,73
Cole Swindell,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,69
Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,74
Adriel Favela,La Escuela No Me Gustó,4qArKIA7dnmdushoBlkV94,75
Mitchell Tenpenny,Alcohol You Later,5SO7pvSFiXwU0e1z7C4X7H,70
DaBaby,21,1AdXchAT6hBUm5d6y4nKjI,69
YoungBoy Never Broke Again,I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),4O1uCappFiU3bisYUdUBWy,69
A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK,74
Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3,71
Shoffy,Cool Again,7tDqtZnEQcgAE92mEMtgnF,73
Queen Naija,Karma,3qmm9AdG0TnShv0drgXNIQ,71
Bad Bunny,Estamos Bien,2OWVCFTolecLiGZPquvWvT,76
6ix9ine,BEBE (feat. Anuel Aa),4KkUjFkcQvGvWekl8RATDn,80
Morgan Evans,Kiss Somebody,4f3fb3alVLFc8Ga4ncpg7x,69
BTS,FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,77
grandson,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,71
Juice WRLD,I'll Be Fine,0INehbMZOFPnaPBAjK97i3,71
Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,83
Ali Gatie,Moonlight,72pv4E0eBIcE9z8V4tPHui,73
Normani,Waves (feat. 6LACK),2qHk6Nz5glNQrjW8Rhd5kv,73
Khalid,Suncity (feat. Empress Of),6SkHm6poyKfzV6kc9any8k,76
Nicky Jam,X,39N9RPD9MRb5WmoLzNzPeA,80
Nipsey Hussle,Hussle & Motivate,2hVtGnJeHOo0EqjzYXNFg5,69
Lil Mosey,Greet Her,35eqqYzCWQyzqxj4SI9Ywl,72
Shoreline Mafia,Musty,2bkKnaLTMCghmjlcPBoYWd,71
"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,73
Jeremy Zucker,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,75
Luke Combs,"Houston, We Got a Problem",6guWjUuNYziyNXgjFo1IpF,71
Mac Miller,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,73
Bazzi,Honest,11Tfh16o0SW8KdiQdeESEX,73
Daniel Caesar,Who Hurt You?,23c9gmiiv7RCu7twft0Mym,73
J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,83
Ozuna,Solita,7rwX0O3RlxqqIjQM8evm5E,76
G-Eazy,1942,794QVQtFNy7hvtjQP1keQd,72
ScHoolboy Q,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,73
Why Don't We,8 Letters,4zRZAmBQP8vhNPf9i9opXt,75
Jacquees,You,01jIO8SJFnpSiNLH1JaBZ5,72
Roddy Ricch,Every Season,1ttPzkTSpQUFcEGx8bjerL,72
Ski Mask The Slump God,BabyWipe,6eKWSrZfzd25TYYxkscWgg,72
Lil Mosey,Pull Up,6dww8y59MiIREzWonqzGOy,72
Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,70
Fuerza Regida,Sigo Chambeando,4PR0r2us3a64lTew6TVlF2,73
21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,73
YNW Melly,Mind On My Murder,2xBfOUdiRafSWGqTj4yToU,71
Blackway,What's Up Danger (with Black Caviar),5zsHmE2gO3RefVsPyw2e3T,74
Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,77
Rich The Kid,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,72
Future,Hard Work Pays Off,6gzIcEUuswJQGfJNPYMjjv,71
Clean Bandit,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,79
21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,72
Juice WRLD,Scared Of Love,49QVOdWgGagzLrThkIqtK6,71
NOTD,I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,76
Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,79
Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,78
Dierks Bentley,Burning Man,4a1oIihVt6xSnDRpgX387M,70
Becky G,Sin Pijama,2ijef6ni2amuunRoKTlgww,82
Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,72
Post Malone,Zack And Codeine,5lZZmityu9TAjNvSY6GLhR,73
Cole Swindell,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,69
Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,74
Adriel Favela,La Escuela No Me Gustó,4qArKIA7dnmdushoBlkV94,75
Still Woozy,Habit,1M321puDN1WBd5NF0ogOKW,71
